table_name,column_name,type_name
TB_AlipayNotify,NotifyID,int
TB_AlipayNotify,is_success,varchar
TB_AlipayNotify,out_trade_no,varchar
TB_AlipayNotify,subject,nvarchar
TB_AlipayNotify,payment_type,varchar
TB_AlipayNotify,exterface,varchar
TB_AlipayNotify,trade_no,varchar
TB_AlipayNotify,trade_status,varchar
TB_AlipayNotify,notify_id,varchar
TB_AlipayNotify,notify_time,varchar
TB_AlipayNotify,notify_type,varchar
TB_AlipayNotify,seller_email,varchar
TB_AlipayNotify,buyer_email,varchar
TB_AlipayNotify,seller_id,varchar
TB_AlipayNotify,buyer_id,varchar
TB_AlipayNotify,total_fee,decimal
TB_AlipayNotify,extra_common_param,nvarchar
TB_AlipayNotify,bank_seq_no,varchar
TB_AlipayNotify,gmt_create,varchar
TB_AlipayNotify,gmt_payment,varchar
TB_AlipayNotify,gmt_close,varchar
TB_AlipayNotify,refund_status,varchar
TB_AlipayNotify,gmt_refund,varchar
TB_AlipayNotify,error_code,varchar
TB_AlipayNotify,out_channel_type,varchar
TB_AlipayNotify,out_channel_amount,varchar
TB_AlipayNotify,out_channel_inst,varchar
TB_AlipayNotify,CreateTime,datetime
TB_AlipayRequestLog,id,int
TB_AlipayRequestLog,error_msg,varchar
TB_AlipayRequestLog,has_error,bit
TB_AlipayRequestLog,job_id,varchar
TB_AlipayRequestLog,method,varchar
TB_AlipayRequestLog,req_data,nvarchar
TB_AlipayRequestLog,res_data,nvarchar
TB_AlipayRequestLog,url,varchar
TB_AppSliderItem,id,int
TB_AppSliderItem,title,nvarchar
TB_AppSliderItem,type,nvarchar
TB_AppSliderItem,imageUrl,nvarchar
TB_AppSliderItem,data,nvarchar
TB_AppSliderItem,region,varchar
TB_AppSliderItem,starttime,datetime
TB_AppSliderItem,expired,datetime
TB_AppSliderItem,site,int
TB_AppSliderItem,sort,int
TB_Areas,id,int
TB_Areas,name,nvarchar
TB_Areas,parent_id,int
TB_Areas,type,int
TB_Areas,zip,int
TB_Areas,dispname,nvarchar
TB_Areas,Py,varchar
TB_Areas,lat,decimal
TB_Areas,lng,decimal
TB_Areas,useparent,bit
TB_Areas,bddispname,nvarchar
TB_Areas,a58id,int
TB_Areas,alias,nvarchar
TB_Areas,jobcount,int
TB_Areas,enabled,bit
TB_Areas,aliasId,int
TB_Areas,group_code,varchar
TB_Areas,cityCode,int
TB_Artcle,ArtcleID,int
TB_Artcle,CatID,int
TB_Artcle,Title,nvarchar
TB_Artcle,Source,nvarchar
TB_Artcle,UpdateTime,datetime
TB_Artcle,DisplayTime,datetime
TB_Artcle,hits,int
TB_Artcle,SortOrder,int
TB_Artcle,StartTime,datetime
TB_Artcle,Impt,int
TB_Artcle,DayOfWeek,int
TB_Artcle,Sponsor,int
TB_Artcle,Region,varchar
TB_Artcle,EndTime,datetime
TB_Artcle,UserId,int
TB_Artcle,HasPub,bit
TB_Artcle,TypeEx,int
TB_Artcle,PubType,int
TB_Artcle,AttachmentUrl,nvarchar
TB_Artcle,ImgsUrl,nvarchar
TB_Artcle,IsStop,int
TB_Artcle,Condition,int
TB_Artcle,ChushiRenshu,int
TB_Artcle,FushiRenshu,int
TB_Artcle,LuyongRenshu,int
TB_ArtcleCat,CatID,int
TB_ArtcleCat,CatName,nvarchar
TB_ArtcleCat,PID,int
TB_ArtcleCat,CatKey,nvarchar
TB_ArtcleCat,GroupKey,nvarchar
TB_ArtcleCat,CacheKey,nvarchar
TB_Banner,BannerID,int
TB_Banner,Sort,int
TB_Banner,KeyWords,nvarchar
TB_Banner,ImgUrl,varchar
TB_Banner,InformationUrl,varchar
TB_Banner,AreaName,nvarchar
TB_Banner,Area,varchar
TB_Banner,Type,int
TB_Banner,StartTime,datetime
TB_Banner,EndTime,datetime
TB_Banner,PlaceType,int
TB_BannerImg,ImgID,int
TB_BannerImg,Title,nvarchar
TB_BannerImg,FileExt,varchar
TB_BannerImg,CreateTime,datetime
TB_BannerImg,Type,int
TB_BC_AuditJob,Id,int
TB_BC_AuditJob,JobSn,int
TB_BC_AuditJob,EntSn,int
TB_BC_AuditJob,EntName,varchar
TB_BC_AuditJob,JobName,varchar
TB_BC_AuditJob,PublishDate,datetime
TB_BC_AuditJob,CheckDate,datetime
TB_BC_AuditJob,IsCheck,int
TB_BC_AuditJob,Actiontext,varchar
TB_BC_AuditJob,CsLog,nvarchar
TB_BC_AuditJob,CsId,varchar
TB_BC_AuditJob,CsName,varchar
TB_BC_AuditJob,SiteCode,varchar
TB_BC_AuditJob,MemberId,int
TB_BC_AuditJob,MemberName,varchar
TB_BC_AuditJob,CheckUser,varchar
TB_BC_AuditJob,Cause,varchar
TB_BC_City,id,int
TB_BC_City,name,nvarchar
TB_BC_City,class1,int
TB_BC_City,class2,int
TB_BC_City,lx,tinyint
TB_BC_City,px,int
TB_BC_City,pinyin,nvarchar
TB_BC_City,pyAbbr,nvarchar
TB_BC_ComLoginLog,Id,int
TB_BC_ComLoginLog,Bc_id,int
TB_BC_ComLoginLog,YnCompanyId,int
TB_BC_ComLoginLog,Ent_SN,int
TB_BC_ComLoginLog,Ip,varchar
TB_BC_ComLoginLog,Postdate,datetime
TB_BC_ComLoginLog,SiteCode,varchar
TB_BC_ComLoginLog,Type,int
TB_BC_ComLoginLog,Source,int
TB_BC_ComLoginLog,LoginID,varchar
TB_BC_ComLoginLog,CurPath,varchar
TB_BC_ComLoginLog,IpLocation,varchar
TB_BC_DataSynchLog,Id,bigint
TB_BC_DataSynchLog,RequesTime,datetime2
TB_BC_DataSynchLog,RequesUrl,varchar
TB_BC_DataSynchLog,ResponseDate,nvarchar
TB_BC_DataSynchLog,RequesParam,varchar
TB_BC_DataSynchLog,HasError,bit
TB_BC_DataSynchLog,ErrorMsg,varchar
TB_BC_DataSynchLog,SystemTime,datetime2
TB_BC_DataSynchLog,ExtendedData,varchar
TB_BC_DealRepeat,UserID,int
TB_BC_DealRepeat,JwSn,int
TB_BC_DealRepeat,Mobile,varchar
TB_BC_DealRepeat,SiteCode,varchar
TB_BC_DealRepeat,AddTime,datetime
TB_BC_DealRepeat,RegDate,datetime
TB_BC_DownloadResume,Id,int
TB_BC_DownloadResume,BC_Id,int
TB_BC_DownloadResume,Ent_SN,int
TB_BC_DownloadResume,Jw_SN,int
TB_BC_DownloadResume,VDate,datetime
TB_BC_DownloadResume,Jw_Name,varchar
TB_BC_DownloadResume,Res_SN,int
TB_BC_DownloadResume,YnCompanyId,int
TB_BC_EntComboLog,Id,int
TB_BC_EntComboLog,EntSn,bigint
TB_BC_EntComboLog,RefedCount,int
TB_BC_EntComboLog,TotalCount,int
TB_BC_EntComboLog,EntMsm,varchar
TB_BC_EntComboLog,EntMsnCount,int
TB_BC_EntComboLog,SiteCode,varchar
TB_BC_EntComboLog,FetchTime,datetime2
TB_BC_EntComboLog,CurrentDate,date
TB_BC_EntInfo,Id,int
TB_BC_EntInfo,Account,int
TB_BC_EntInfo,AndroidLastLogintime,datetime
TB_BC_EntInfo,AssLogin,bit
TB_BC_EntInfo,Asslogintime,datetime
TB_BC_EntInfo,Blacklist,varchar
TB_BC_EntInfo,BMap_lat,float
TB_BC_EntInfo,BMap_lng,float
TB_BC_EntInfo,Busway,varchar
TB_BC_EntInfo,CityCode,int
TB_BC_EntInfo,CommendtoJw,bit
TB_BC_EntInfo,Deltime,datetime
TB_BC_EntInfo,Ehr_Flag,bit
TB_BC_EntInfo,Ent_AllotTime,datetime
TB_BC_EntInfo,Ent_Community_BeginDate,datetime
TB_BC_EntInfo,Ent_Community_Mouth,int
TB_BC_EntInfo,Ent_Contact_Address,varchar
TB_BC_EntInfo,Ent_Contact_Email,varchar
TB_BC_EntInfo,Ent_Contact_Fax,varchar
TB_BC_EntInfo,Ent_Contact_Hidden,bit
TB_BC_EntInfo,Ent_Contact_Homepage,varchar
TB_BC_EntInfo,Ent_Contact_Mobile,varchar
TB_BC_EntInfo,Ent_Contact_Mobile2,varchar
TB_BC_EntInfo,Ent_Contact_People,varchar
TB_BC_EntInfo,Ent_Contact_People2,varchar
TB_BC_EntInfo,Ent_Contact_Phone,varchar
TB_BC_EntInfo,Ent_Contact_Phone2,varchar
TB_BC_EntInfo,Ent_Contact_QQ,varchar
TB_BC_EntInfo,Ent_Contact_Title,varchar
TB_BC_EntInfo,Ent_Contact_Title2,varchar
TB_BC_EntInfo,Ent_Contact_Zipcode,varchar
TB_BC_EntInfo,Ent_CSID,int
TB_BC_EntInfo,Ent_CSName,varchar
TB_BC_EntInfo,Ent_Email_RegFrom,varchar
TB_BC_EntInfo,Ent_Emp_Num,varchar
TB_BC_EntInfo,Ent_Expire,datetime
TB_BC_EntInfo,Ent_Field,varchar
TB_BC_EntInfo,Ent_Found_Date,datetime
TB_BC_EntInfo,Ent_Fund,varchar
TB_BC_EntInfo,Ent_GetJw_Num,int
TB_BC_EntInfo,Ent_Has_Maillist,nvarchar
TB_BC_EntInfo,Ent_Headlines,int
TB_BC_EntInfo,Ent_Hold,int
TB_BC_EntInfo,Ent_Industry,varchar
TB_BC_EntInfo,Ent_IndustryJob,int
TB_BC_EntInfo,Ent_intro,nvarchar
TB_BC_EntInfo,Ent_JobNeedCheck,int
TB_BC_EntInfo,Ent_Label,varchar
TB_BC_EntInfo,Ent_Latest_Login,datetime
TB_BC_EntInfo,Ent_Latest_Notice,datetime
TB_BC_EntInfo,Ent_Login_ID,varchar
TB_BC_EntInfo,Ent_Login_Pwd,varchar
TB_BC_EntInfo,Ent_LogIP,varchar
TB_BC_EntInfo,Ent_Logo,varchar
TB_BC_EntInfo,Ent_Medals,varchar
TB_BC_EntInfo,Ent_MemberID,int
TB_BC_EntInfo,Ent_MemberName,varchar
TB_BC_EntInfo,Ent_MobileActive,varchar
TB_BC_EntInfo,Ent_msm,varchar
TB_BC_EntInfo,Ent_Name,varchar
TB_BC_EntInfo,Ent_NextCallTime,datetime
TB_BC_EntInfo,Ent_Property,varchar
TB_BC_EntInfo,Ent_Reg_Date,datetime
TB_BC_EntInfo,Ent_Reg_Num,varchar
TB_BC_EntInfo,Ent_RegFrom,varchar
TB_BC_EntInfo,Ent_SendEmailRes,bit
TB_BC_EntInfo,Ent_Slogan,varchar
TB_BC_EntInfo,Ent_SN,int
TB_BC_EntInfo,Ent_SpecialUrl,varchar
TB_BC_EntInfo,Ent_Tag,varchar
TB_BC_EntInfo,Ent_Video,varchar
TB_BC_EntInfo,Ent_View,int
TB_BC_EntInfo,EntHoldNum,int
TB_BC_EntInfo,EntPic,nvarchar
TB_BC_EntInfo,ErrorEmail,bit
TB_BC_EntInfo,Estate,int
TB_BC_EntInfo,EveryDay_LookResCount,int
TB_BC_EntInfo,Face,varchar
TB_BC_EntInfo,Fairs,bit
TB_BC_EntInfo,Fast,int
TB_BC_EntInfo,FrozenEndDate,datetime
TB_BC_EntInfo,GetJws,int
TB_BC_EntInfo,Highlight,bit
TB_BC_EntInfo,IosLastLogintime,datetime
TB_BC_EntInfo,Isdel,bit
TB_BC_EntInfo,IsLockContact,bit
TB_BC_EntInfo,IsOpenHx,bit
TB_BC_EntInfo,IsOpenPayEmail,bit
TB_BC_EntInfo,IsYuyue,int
TB_BC_EntInfo,JobCount,int
TB_BC_EntInfo,JobNum,int
TB_BC_EntInfo,LastActTime,datetime
TB_BC_EntInfo,LastFreezeTime,datetime
TB_BC_EntInfo,LastVisitTime,datetime
TB_BC_EntInfo,Letters,varchar
TB_BC_EntInfo,LoginLat,float
TB_BC_EntInfo,LoginLng,float
TB_BC_EntInfo,LoginSource,varchar
TB_BC_EntInfo,Member_Hits,int
TB_BC_EntInfo,Membertime,datetime
TB_BC_EntInfo,Membertype,int
TB_BC_EntInfo,Mgt_SN,int
TB_BC_EntInfo,Mobile_TemplateID,int
TB_BC_EntInfo,MobileLogin,bit
TB_BC_EntInfo,Mobilelogintime,datetime
TB_BC_EntInfo,ModifyTime,datetime
TB_BC_EntInfo,Noserver,bit
TB_BC_EntInfo,OnlyShowAtOpenSite,bit
TB_BC_EntInfo,Opendate,datetime
TB_BC_EntInfo,Openguest,bit
TB_BC_EntInfo,PayEmail_Power,varchar
TB_BC_EntInfo,PcLastLogintime,datetime
TB_BC_EntInfo,Phone_Ent_SpecialUrl,varchar
TB_BC_EntInfo,Precharge,float
TB_BC_EntInfo,Protect_Expire,datetime
TB_BC_EntInfo,Pushkey,varchar
TB_BC_EntInfo,RefedCount,int
TB_BC_EntInfo,Refresh,bit
TB_BC_EntInfo,RefurbishJob,bit
TB_BC_EntInfo,RegSource,varchar
TB_BC_EntInfo,ResViewRate,int
TB_BC_EntInfo,SameCompany,varchar
TB_BC_EntInfo,Sign,varchar
TB_BC_EntInfo,Source,varchar
TB_BC_EntInfo,Status,bit
TB_BC_EntInfo,TemplateID,int
TB_BC_EntInfo,TotalCount,int
TB_BC_EntInfo,TrueEmail,bit
TB_BC_EntInfo,Video,bit
TB_BC_EntInfo,VideoEndDate,datetime
TB_BC_EntInfo,Vip_LastTime,varchar
TB_BC_EntInfo,WellknownIsLimit,bit
TB_BC_EntInfo,WellknownLimitDate,datetime
TB_BC_EntMedals,MedalID,int
TB_BC_EntMedals,MedalBigIcon,varchar
TB_BC_EntMedals,MedalName,varchar
TB_BC_EntMedals,MedalSmallIcon,varchar
TB_BC_EntMedals,MedalSN,int
TB_BC_EntMedals,MedalText,varchar
TB_BC_FavResume,Id,int
TB_BC_FavResume,SN,int
TB_BC_FavResume,Ent_SN,int
TB_BC_FavResume,YnCompanyId,int
TB_BC_FavResume,Jw_SN,int
TB_BC_FavResume,AddTime,datetime
TB_BC_FavResume,Jw_Name,varchar
TB_BC_FavResume,Listid,int
TB_BC_FavResume,Res_Sex,tinyint
TB_BC_FavResume,Res_Learn,smallint
TB_BC_FavResume,Res_Expr_Years,smallint
TB_BC_FavResume,Res_SN,int
TB_BC_FavResume,FAV_Name,varchar
TB_BC_FavResume,SiteCode,varchar
TB_BC_IMLog,ID,bigint
TB_BC_IMLog,EntSn,bigint
TB_BC_IMLog,EntAccountId,bigint
TB_BC_IMLog,JwSn,bigint
TB_BC_IMLog,ResSn,bigint
TB_BC_IMLog,FromEnt,bit
TB_BC_IMLog,IsFree,bit
TB_BC_IMLog,IsJwApply,bit
TB_BC_IMLog,Device,int
TB_BC_IMLog,CreateTime,datetime2
TB_BC_IMLog,SiteCode,varchar
TB_BC_Industry,bcid,int
TB_BC_Industry,name,nvarchar
TB_BC_Industry,yn_id,int
TB_BC_Industry,com_count,int
TB_BC_InterviewRec,Id,int
TB_BC_InterviewRec,Bc_Id,int
TB_BC_InterviewRec,Jw_SN,int
TB_BC_InterviewRec,Ent_SN,int
TB_BC_InterviewRec,Job_SN,int
TB_BC_InterviewRec,PostDate,datetime
TB_BC_InterviewRec,IV_Date,datetime
TB_BC_InterviewRec,IV_Date_More,varchar
TB_BC_InterviewRec,IV_Addr,varchar
TB_BC_InterviewRec,IV_Mess,varchar
TB_BC_InterviewRec,Ent_Name,varchar
TB_BC_InterviewRec,Jw_Name,varchar
TB_BC_InterviewRec,Job_Name,varchar
TB_BC_InterviewRec,RES_SN,int
TB_BC_InterviewRec,Applyid,int
TB_BC_InterviewRec,AccountID,int
TB_BC_InterviewRec,AccountName,varchar
TB_BC_InterviewRec,InterviewCommentId,int
TB_BC_InterviewRec,Device,int
TB_BC_InterviewRec,SiteCode,varchar
TB_BC_InvitePerson,Id,int
TB_BC_InvitePerson,YnCompanyId,int
TB_BC_InvitePerson,YnJwId,int
TB_BC_InvitePerson,BC_Id,int
TB_BC_InvitePerson,Jw_SN,int
TB_BC_InvitePerson,Ent_SN,int
TB_BC_InvitePerson,Job_SN,int
TB_BC_InvitePerson,Send_Date,datetime
TB_BC_InvitePerson,IsRead,tinyint
TB_BC_InvitePerson,Jw_Del,bit
TB_BC_InvitePerson,Ent_Del,bit
TB_BC_InvitePerson,Ent_Name,varchar
TB_BC_InvitePerson,Jw_Name,varchar
TB_BC_InvitePerson,Job_Name,varchar
TB_BC_InvitePerson,Job_Expire,datetime
TB_BC_InvitePerson,Msm,bit
TB_BC_InvitePerson,RES_SN,int
TB_BC_InvitePerson,AccountID,int
TB_BC_InvitePerson,AccountName,varchar
TB_BC_InvitePerson,Device,int
TB_BC_JobCategory,Id,int
TB_BC_JobCategory,Name,nvarchar
TB_BC_JobCategory,CategoryId,int
TB_BC_JobCategory,ParentId,int
TB_BC_JobCategory,SubParentId,int
TB_BC_JobCategory,Type,smallint
TB_BC_JobCategory,Sort,int
TB_BC_JobCategory,PinYin,nvarchar
TB_BC_JobCategory,PinYinAbbr,nvarchar
TB_BC_JobCategory,IsRed,bit
TB_BC_JobCategory,UId,varchar
TB_BC_JobCategory,UName,nvarchar
TB_BC_JobCategory,IsPartTimeJob,bit
TB_BC_JobCategory,baiduclass1,nvarchar
TB_BC_JobCategory,baiduclass2,nvarchar
TB_BC_JobCategory,baiduclass3,nvarchar
TB_BC_JobCategory,IsDel,bit
TB_BC_JobCategory,ResumeLevel,int
TB_BC_JobCategory_bak20231129,Id,int
TB_BC_JobCategory_bak20231129,Name,nvarchar
TB_BC_JobCategory_bak20231129,CategoryId,int
TB_BC_JobCategory_bak20231129,ParentId,int
TB_BC_JobCategory_bak20231129,SubParentId,int
TB_BC_JobCategory_bak20231129,Type,smallint
TB_BC_JobCategory_bak20231129,Sort,int
TB_BC_JobCategory_bak20231129,PinYin,nvarchar
TB_BC_JobCategory_bak20231129,PinYinAbbr,nvarchar
TB_BC_JobCategory_bak20231129,IsRed,bit
TB_BC_JobCategory_bak20231129,UId,varchar
TB_BC_JobCategory_bak20231129,UName,nvarchar
TB_BC_JobCategory_bak20231129,IsPartTimeJob,bit
TB_BC_JobCategory_bak20231129,baiduclass1,nvarchar
TB_BC_JobCategory_bak20231129,baiduclass2,nvarchar
TB_BC_JobCategory_bak20231129,baiduclass3,nvarchar
TB_BC_JobCategory_bak20231129,IsDel,bit
TB_BC_JobCategory_bak20231129,ResumeLevel,int
TB_BC_JobCategory_bak20231129,NeedJwCount,int
TB_BC_JobCategory_bak20231129,AlipayName,nvarchar
TB_BC_JobCategory_bak20231129,AlipayCode,nvarchar
TB_BC_JobCategory_bak20231129,AlipayParentCode,nvarchar
TB_BC_JobOffer,Id,int
TB_BC_JobOffer,ActivatioTime,datetime
TB_BC_JobOffer,AddTime,datetime
TB_BC_JobOffer,Busway,varchar
TB_BC_JobOffer,DelTime,datetime
TB_BC_JobOffer,DeptName,varchar
TB_BC_JobOffer,Discuss,varchar
TB_BC_JobOffer,EntAccountId,varchar
TB_BC_JobOffer,EntSn,int
TB_BC_JobOffer,IsAutoInvite,varchar
TB_BC_JobOffer,IsChecked,int
TB_BC_JobOffer,IsDel,bit
TB_BC_JobOffer,IsJobFair,varchar
TB_BC_JobOffer,Job_Contact_Fax,varchar
TB_BC_JobOffer,Job_Medals,varchar
TB_BC_JobOffer,Job_People_Count,int
TB_BC_JobOffer,Job_Publish_Date,datetime
TB_BC_JobOffer,JobAgeHighest,int
TB_BC_JobOffer,JobAgeLowest,int
TB_BC_JobOffer,JobCategory,int
TB_BC_JobOffer,JobContactAddress,varchar
TB_BC_JobOffer,JobContactEmail,varchar
TB_BC_JobOffer,JobContactPeople,varchar
TB_BC_JobOffer,JobContactPhone,varchar
TB_BC_JobOffer,JobExpire,datetime
TB_BC_JobOffer,JobExprYears,int
TB_BC_JobOffer,JobFairSalary,varchar
TB_BC_JobOffer,JobHot,bit
TB_BC_JobOffer,JobIsActive,bit
TB_BC_JobOffer,JobKeyword,varchar
TB_BC_JobOffer,JobKind,varchar
TB_BC_JobOffer,JobLearnLimited,int
TB_BC_JobOffer,JobMoney,int
TB_BC_JobOffer,JobName,varchar
TB_BC_JobOffer,JobOrder,int
TB_BC_JobOffer,JobProvideHouse,varchar
TB_BC_JobOffer,JobReadCount,int
TB_BC_JobOffer,JobRequirement,nvarchar
TB_BC_JobOffer,JobSendMail,bit
TB_BC_JobOffer,JobSex,int
TB_BC_JobOffer,JobSn,int
TB_BC_JobOffer,JobType,int
TB_BC_JobOffer,JobWorkplace,varchar
TB_BC_JobOffer,JobWorkplaceCode,int
TB_BC_JobOffer,Letters,varchar
TB_BC_JobOffer,LoseLog,bit
TB_BC_JobOffer,ModifyTime,varchar
TB_BC_JobOffer,Resumepipei,int
TB_BC_JobOffer,SalaryHigh,int
TB_BC_JobOffer,SalaryLow,int
TB_BC_JobOffer,SpMobileUrl,varchar
TB_BC_JobOffer,SpUrl,varchar
TB_BC_JobOffer,YnCompanyId,int
TB_BC_JobOffer,YnJobId,int
TB_BC_JobReadLog,Id,int
TB_BC_JobReadLog,JobSn,bigint
TB_BC_JobReadLog,EntSn,bigint
TB_BC_JobReadLog,JobReadCount,int
TB_BC_JobReadLog,SiteCode,varchar
TB_BC_JobReadLog,FetchTime,datetime2
TB_BC_JobReadLog,TodayReadCount,int
TB_BC_JobReadLog,CurrentDate,date
TB_BC_JobRefreshLog,ID,bigint
TB_BC_JobRefreshLog,EntSn,bigint
TB_BC_JobRefreshLog,JobSn,bigint
TB_BC_JobRefreshLog,JobName,varchar
TB_BC_JobRefreshLog,AdminID,int
TB_BC_JobRefreshLog,Source,int
TB_BC_JobRefreshLog,IsCharge,bit
TB_BC_JobRefreshLog,RefreshTime,datetime2
TB_BC_JobRefreshLog,SiteCode,varchar
TB_BC_JwApplyJob,Id,int
TB_BC_JwApplyJob,BC_Id,int
TB_BC_JwApplyJob,EntSn,int
TB_BC_JwApplyJob,EntName,varchar
TB_BC_JwApplyJob,JwSn,int
TB_BC_JwApplyJob,JwName,varchar
TB_BC_JwApplyJob,JobSn,int
TB_BC_JwApplyJob,JobName,varchar
TB_BC_JwApplyJob,ResSn,int
TB_BC_JwApplyJob,ApplyDate,datetime
TB_BC_JwApplyJob,SiteCode,varchar
TB_BC_JwApplyJob,EntDel,bit
TB_BC_JwApplyJob,IsRead,bit
TB_BC_JwApplyJob,EntDelTime,datetime2
TB_BC_JwFavJob,Id,int
TB_BC_JwFavJob,SN,int
TB_BC_JwFavJob,Jw_SN,int
TB_BC_JwFavJob,Job_SN,int
TB_BC_JwFavJob,Ent_SN,int
